n_state_partitions,seeds_in_state_tier,seeds_country_tier_only,residual_area_km2,seed_count,duplicate_metro_ids_dropped,country_area_km2,n_clusters,rotated_for_pole,number_of_output_pieces,number_of_metros,sum_cell_area_km2,area_sum_residual_km2,max_cell_area_km2,geometry_valid,country_code,case
73,79,0,16310.434716401447,79,0,516275.4623797386,0,False,0,88,0.0,0.0,0.0,True,TH,halfspace_intersection
4,9,0,28537.67872668864,9,0,142136.27225163535,0,False,0,15,0.0,0.0,0.0,True,TJ,halfspace_intersection
1,1,0,0.0,1,0,4.252598371894945,0,False,0,1,0.0,0.0,0.0,True,TK,fully_state_partitioned
1,1,0,14742.568458782609,1,0,15145.115928352661,0,False,0,2,0.0,0.0,0.0,True,TL,single_seed
5,13,0,1.568663787694458e-06,13,0,470449.2866983797,0,False,0,13,0.0,0.0,0.0,True,TM,halfspace_intersection
22,26,0,748.9035780794903,26,0,156654.68294490065,0,False,0,28,0.0,0.0,0.0,True,TN,halfspace_intersection
2,2,0,212.77445666555883,2,0,604.8591018108041,0,False,0,4,0.0,0.0,0.0,True,TO,two_seeds_bisector
72,83,0,35081.72234808861,83,0,779426.4031430754,0,False,0,114,0.0,0.0,0.0,True,TR,halfspace_intersection
2,2,0,5108.385417804736,2,0,5143.646055030513,0,False,0,4,0.0,0.0,0.0,True,TT,two_seeds_bisector
1,1,0,0.0,1,0,23.116003795226714,0,False,0,1,0.0,0.0,0.0,True,TV,fully_state_partitioned
20,25,0,154.37702866727867,25,0,36281.434867172116,0,False,0,27,0.0,0.0,0.0,True,TW,halfspace_intersection
29,59,0,876.8992855758847,59,0,945555.9753448471,0,False,0,62,0.0,0.0,0.0,True,TZ,halfspace_intersection
25,49,0,0.001325513851150647,49,0,570179.8180322853,0,False,0,51,0.0,0.0,0.0,True,UA,halfspace_intersection
41,43,0,135799.34523069,43,0,242936.01671023094,0,False,0,86,0.0,0.0,0.0,True,UG,halfspace_intersection
