country_code,n_metros,country_area_km2,uncovered_km2,overlap_km2,escape_km2,invalid_geoms,max_cell_area_km2,union_ok,measured_rotated
CK,2,191.69015525647254,0.0,0.0,0.0,0,127.35049283103157,True,False
CL,84,736364.1823372553,0.25785941730916107,0.08590545015291179,0.07306999410751715,0,50740.3155577537,True,False
CM,31,466331.23296236614,0.017225904348346185,0.009988490219850614,0.0014644079205456061,0,53308.70264511317,True,False
CN,404,9373413.043079397,1.0089453220305955,0.9749640551514078,0.29381444034410925,0,344781.7511404388,True,False
CO,76,1140094.8066723607,0.013441288331801924,0.014007617253952432,0.0004311147153981701,0,109743.57382929827,True,False
CR,13,51360.02761067354,0.00033999941179744327,0.0005380640342907247,0.0010820793160517413,0,8361.075445276603,True,False
CU,27,110287.59183658451,0.008116614199224421,0.0001546891683623916,0.002762269193244263,0,11732.413115578698,True,False
CV,4,3940.3564888027495,5.472878629506376e-05,4.400749852384658e-12,1.431093706859002e-05,0,2500.8124917020086,True,False
CW,1,465.0448025826036,4.372832595508593e-08,0.0,2.1911471038456098e-08,0,465.044802582586,True,False
CY,9,9282.130464577804,5.089235456946171e-05,3.8764677337702965e-05,0.00449856710125802,0,1968.0682963290228,True,False
CZ,20,78497.27711849197,0.0008023097452785375,0.006643275670732904,0.0,0,9947.930147153273,True,False
DE,58,356378.7389625982,0.032921125302268685,0.003793056878845519,0.044654924231677565,0,20952.007280504553,True,False
DJ,9,21933.755356362508,0.01025559108993589,0.0064002853913187364,1.2721454162286826e-05,0,6841.848078349167,True,False
DK,12,42494.306904926496,0.02894420980618586,6.709763582739843e-06,0.14165860015101794,0,8391.961259532278,True,False
DM,2,732.8957148390549,4.1402969733085876e-06,2.2786287678301382e-08,0.0,0,679.1761444796559,True,False
DO,40,48589.064967318605,0.0008095088539266379,0.002977686166128084,0.016475521655596372,0,3335.299408963248,True,False
DZ,75,2312302.0456192847,0.5147532457484546,0.28000299758927066,0.1575054516253211,0,313346.5722881375,True,False
EC,47,256155.22036410827,0.00456807038213236,0.0017943568626055128,0.0007222860278056192,0,29260.354901897557,True,False
EE,13,45576.26829823094,0.02390648020237406,0.018166524243539352,0.0028689355279424003,0,8383.66416751209,True,False
EG,42,1002869.976658216,0.22825016837484066,0.12310250578352931,0.06013194458735411,0,191790.83214036605,True,False
EH,1,90696.45643316276,1.2711146634379625e-07,0.0,2.0177962355351311e-07,0,90696.4564332146,True,False
ER,8,122972.07670672881,0.002653944458793144,1.8212353260180176e-07,0.0010834603647331203,0,33062.96739569688,True,False
ES,81,506328.3346149196,0.014039614055524284,0.09969806674945209,0.009567316129304473,0,19120.25304674401,True,False
ET,42,1132066.5124010928,0.03002673058653929,0.036367246614343915,0.011178631221631869,0,161960.0533500988,True,False
FI,31,330937.68816411274,0.1756837192666824,0.016121152813119346,0.0007216472223833125,0,62733.74565823276,True,False
FJ,6,18992.16104936439,0.0,1.9316188790528534e-06,1.779834649511106e-05,0,6359.3425512477415,True,False
FK,2,11553.35997207036,0.0005506714897684367,3.922443352803601e-09,0.005144535773986781,0,7220.834224458357,True,False
FM,2,636.5647172171887,3.524037967729902e-11,0.0,2.2661293952082367e-11,0,355.40323517045937,True,False
FO,2,1320.5868539143023,0.0038438489463487853,0.0,0.004213915921685358,0,856.8349574272784,True,False
FR,106,546435.2533471219,0.18776978192693253,0.02867042073214316,0.03379352384155001,0,14249.80985067373,True,False
GA,21,261133.32029156512,0.006981938332443881,0.002469232625074326,0.005346402033070682,0,30679.026994930664,True,False
GB,109,242736.7566188261,0.0849116932913644,0.01445869621860491,0.10772308961530598,0,12499.493850722474,True,False
GD,2,348.6113702376319,8.742172095821856e-08,4.400749852384658e-12,8.759637571798507e-08,0,264.8200479230651,True,False
GE,13,69462.33015081509,0.16823557306355233,0.02330712158217974,0.013140179664332586,0,8986.500032266851,True,False
GF,7,83551.73524953847,0.0003797117848034923,5.980885846215569e-08,0.002888834851635503,0,35396.48822219153,True,False
GG,2,73.74340703129971,9.517996790110693e-08,0.0,1.1620730078953238e-11,0,72.68969398402626,True,False
GH,18,239676.40133648206,0.0015779628310891706,0.003350850387000094,9.300413265627896e-06,0,48133.72862742144,True,False
GI,1,3.6918280577784026,1.1001874630961645e-12,0.0,2.865328228887651e-08,0,3.691828086436086,True,False
GL,18,2137890.5209210985,0.0962516205716377,0.1757642823531744,0.14057313211520944,0,869933.2669727553,True,False
GM,7,10540.59284054934,4.302865154688901e-06,4.4452574320115043e-08,0.00017737716988439233,0,2381.785712736405,True,False
GN,45,245290.1259741846,0.003413896288398487,0.011392036960281323,0.00088630671936243,0,17774.575751506607,True,False
GP,2,1663.0259892599477,0.00021535633001176983,0.0,1.152400125338924e-07,0,1237.118375887641,True,False
GQ,10,26791.065118335617,3.725085874991355e-05,1.4116771541567373e-07,0.0021219958844100116,0,8369.868315171783,True,False
GR,34,131243.73834565497,0.00920394423472228,0.0012097470139368458,0.013494223554762251,0,10933.497581359474,True,False
GS,1,3904.106538955178,1.4320030536717174e-07,0.0,1.320451290559789e-07,0,3904.1065389644605,True,False
GT,29,109192.00544620673,0.014566569815144668,1.5201002825375571e-05,0.030629106555983367,0,15187.20307200575,True,False
GU,1,566.3283528908614,9.076546570543358e-12,0.0,1.1001874630961645e-12,0,566.328352890857,True,False
GW,10,32957.31961420417,0.00022277928849920173,1.2281179489221508e-07,6.039117116991036e-06,0,8864.14798976333,True,False
GY,17,212139.3791788456,0.0013517032498635763,0.0002660590677142987,0.01886309656796091,0,48175.7927390541,True,False
HK,2,1038.8369978685876,0.0,4.400749852384658e-12,0.0,0,1025.760820627659,True,False
HM,0,393.2186300266025,393.2186300266025,0.0,0.0,0,0.0,True,False
HN,19,112641.55610102764,0.0008560899101986477,2.710753678874463e-07,0.0037097148191722017,0,23979.719282914037,True,False
HR,18,54900.22747068131,0.01984667357977394,0.008065053794092766,0.007128556804477669,0,12138.471537674084,True,False
HT,11,26974.229277545623,5.249799964025334e-05,2.847499691048178e-07,0.0002353248152560718,0,4983.7966304218,True,False
HU,40,92946.61383553139,0.0028268218096596273,0.004575557091858635,0.03046639070106919,0,7085.499017059569,True,False
ID,105,1888146.4397331807,0.0278993515397086,0.007274264152390914,0.04596562502080313,0,133719.2977053096,True,False
IE,27,69160.1722599331,0.0050319650062957445,0.008640467140961275,0.006297455951304005,0,7230.403826598086,True,False
IL,8,22119.79447813115,0.004465295386563914,2.0780040796288037e-05,8.285758101101745e-07,0,14534.965539439067,True,False
IM,1,572.3121868899125,3.267886821634537e-08,0.0,2.5304311651211783e-11,0,572.3121868899148,True,False
IN,220,3160404.176406282,0.1555054493526738,0.06459487337388815,0.05096543412651232,0,101970.23841414956,True,False
IO,1,161.65062731886846,0.0,0.0,0.0,0,161.65062731886036,True,False
IQ,30,437585.5109614254,0.06783429643435827,0.2333139778033565,4.116172062617815e-06,0,72203.86570006276,True,False
IR,68,1623487.662020142,0.41154720947564827,0.4684400776538452,0.1338910943847005,0,127644.50228004892,True,False
IS,12,101722.67771630822,0.11035729004154585,0.0006914554430328891,5.670554921956926e-05,0,24807.11601460893,True,False
IT,106,300678.18022894266,0.22197345001093502,0.03715741992141381,0.0076062107548539645,0,7373.036656088263,True,False
JE,1,118.66811879438366,9.420355152760909e-12,0.0,2.525274036387915e-11,0,118.66811879436607,True,False
JM,16,11068.04493427339,1.9897440363825682e-07,0.0005150251785304067,0.0,0,1254.9726960973921,True,False
JO,15,88940.452035165,0.004822244854981167,0.0005376046949036372,0.0016204004883748641,0,32917.47361346012,True,False
JP,83,373332.03331327904,0.06039346584898648,0.020140794893213552,0.02982539582924782,0,23079.162760254356,True,False
KE,36,588319.9065699782,0.013819318426799556,0.004639727283904728,0.01767486322434944,0,79056.49850210658,True,False
KG,16,198712.63347135825,0.04790204069584904,0.002021685142796815,0.0029515955924946783,0,28989.59264774738,True,False
KH,28,181754.1700168033,0.002091538291079434,0.0015598012680595756,1.5835778044576395e-06,0,14116.223038140693,True,False
KI,2,954.0947197993165,0.0,0.0,0.0,0,922.9607259219256,True,False
KM,2,1678.7828066824447,6.22293533813768e-12,0.0,1.705290567799055e-11,0,1028.712312042458,True,False
KN,2,264.994922957081,6.819863334867915e-05,2.248044400898109e-09,4.680362496130548e-08,0,229.90014407163588,True,False
KP,28,121104.70492991802,0.006167138939786927,0.0019672751867657167,0.0019593509172275733,0,18510.68639260026,True,False
KR,37,97424.11983889241,0.013097083500859962,0.0015672955719514415,0.16654457952683666,0,11603.325012110226,True,False
KW,7,17495.63139858174,0.001260766295946385,0.0018677086413076383,0.00015418672090311282,0,12217.2693130458,True,False
KY,1,310.13062799093916,0.0,0.0,0.0,0,310.1306279909122,True,False
KZ,98,2712841.467567533,0.6335605340148838,0.3712056339579658,0.07038297165816565,0,144156.96031471228,True,False
LA,25,228826.97195884623,0.0251685264050478,0.004427512949259451,0.003742289269696612,0,23716.71305988146,True,False
LB,6,10007.147934517028,1.1019477630371183e-08,3.9200290193306127e-07,0.0,0,3936.8059429865025,True,False
LC,2,607.3807463755294,2.252016439194878e-08,2.200374926192329e-12,2.2539540556451122e-08,0,529.1750053418749,True,False
LI,2,136.87637672132627,2.814803714916781e-05,4.400749852384658e-12,1.925328060418288e-12,0,122.69141077153785,True,False
LK,28,66572.97752032951,0.02084353117889301,0.0011316081498782106,0.0047886355683913456,0,8634.992216965733,True,False
LR,24,95709.63964733358,0.0029040937186653624,0.007906213012740176,0.0004148216620502781,0,11370.701672094261,True,False
LS,14,30143.04399553366,0.0010999466494594006,0.0006066984348818516,0.004694346109708776,0,5031.382878210048,True,False
LT,10,64641.26296860568,0.0044762400009738966,0.0002922263357461174,0.016459991977064038,0,9759.51050349173,True,False
LU,4,2599.7841284404526,2.2814255049508238e-07,9.536562883311169e-08,2.3773660562711834e-07,0,1143.1180254620783,True,False
LV,12,64259.002938522324,0.011252410656235577,8.314408834734898e-05,0.013785777725511214,0,17217.18161206947,True,False
LY,45,1626531.51162738,0.20457571721368323,0.18398043325478333,0.1028368519669512,0,423870.4715451526,True,False
MA,33,592429.2840024878,0.06781159190057894,0.026852126469375976,0.11416526452837523,0,61763.722845244316,True,False
MC,1,18.803271533055668,3.049527114896526e-08,0.0,3.049884675822032e-08,0,18.80327150256727,True,False
MD,10,33115.789680934795,0.0006788085509181972,6.54393127912168e-07,0.0015013769829765446,0,12700.633725187492,True,False
ME,2,13704.079345227487,0.00022517631214520245,1.0570601145427948e-08,5.144579493488177e-07,0,12269.08728271687,True,False
MF,1,68.49973469400679,2.3592419958634152e-08,0.0,6.601124778576987e-12,0,68.49973469398826,True,False
MG,32,594753.2061738063,0.016231843808048426,0.0008329566461671946,0.043338571703022286,0,48830.75274569066,True,False
MH,2,165.51896361279248,0.0,0.0,0.0,0,83.68808607839081,True,False
MK,6,25348.96491850039,4.246319398677254e-05,2.692144912813089e-07,0.00013516869558293914,0,11704.301545356147,True,False
ML,31,1256812.6854758004,0.13407648717770385,0.1640242745889581,0.0004891524108916158,0,213348.48630595423,True,False
MM,42,664957.178554328,0.08075754527203656,0.029771512595873156,0.007067636052984031,0,88137.59617200895,True,False
MN,28,1560551.8298709865,0.02306514381248871,0.004743949015913093,0.005799261380857694,0,166066.04383622657,True,False
MO,1,30.15321411084839,7.41437617515304e-05,0.0,3.5756092550625347e-12,0,30.15313994225846,True,False
MP,2,581.2909881536978,3.754389717815662e-11,0.0,4.400749852384658e-11,0,448.38020657148195,True,False
MQ,1,1101.4421908840604,1.0520542615857073e-11,0.0,2.1453655530375207e-11,0,1101.4421908840604,True,False
MR,26,1039353.7551417117,0.14559355011891398,0.1716513848948686,0.023760420307630054,0,222458.72711827015,True,False
MS,2,99.93330473104481,4.646531731640341e-08,2.322275697103384e-08,4.6492822002980816e-08,0,67.89374459764144,True,False
MT,2,325.64065295681763,8.251405973221234e-12,2.888872240597909e-08,2.0918992357757777e-08,0,324.16156287218604,True,False
MU,4,2020.247091398433,3.019574552470763e-05,2.354758731951298e-08,3.531821794031307e-08,0,1275.3800549260052,True,False
MV,2,109.22189955995232,0.0,0.0,0.0,0,72.74870961102073,True,False
MW,37,119848.62068378006,0.043656842056148164,0.010135652959930887,0.002201229129616723,0,10644.224991810788,True,False
MX,193,1962242.9459823351,0.6082127923091383,0.03200161068677399,0.14746204326439152,0,53896.87794677193,True,False
MY,33,329334.8514977912,0.016846224754785834,0.003403050256794661,0.0037337076444160515,0,47391.320009839634,True,False
MZ,34,791021.4136978096,0.007110189548165994,0.0923438691974897,0.11014057844560766,0,56191.45058953959,True,False
NA,31,824823.9008823927,0.2820617999395408,0.031076468324206224,0.005675656229665439,0,83684.37607989142,True,False
NC,2,18892.22978402929,2.1987302559537467e-05,4.523420754519881e-09,0.0,0,11560.081957137729,True,False
NE,16,1185161.0688141987,0.13049792209292937,0.020011403528245732,0.0025954172802325846,0,335224.19216353924,True,False
NF,1,41.20114439379631,2.7504686577404114e-12,0.0,1.6502811946442467e-12,0,41.201144393797414,True,False
NG,74,911216.9569592368,0.01787316054465627,0.08442554808792399,0.005627519694300216,0,37916.42212618363,True,False
NI,20,129176.63462629518,0.05606614481221989,4.506092763844174e-06,2.878468160119114e-05,0,32531.838805968455,True,False
NL,17,36957.00347545735,0.004299817695122367,0.0007733450141494173,8.409521944911264e-05,0,5113.908981665889,True,False
NO,34,317926.8360083111,0.22311249582106402,0.047872646694178796,0.11548266761913707,0,27336.99299169548,True,False
NP,18,147323.50600271678,0.011919873598065726,0.0006582295286587265,5.58374457517195e-05,0,21211.76813752583,True,False
NR,2,28.896067224116234,2.200374926192329e-12,0.0,0.0,0,27.156771500660113,True,False
NU,1,221.24875062690865,3.0942772399579625e-13,0.0,7.701312241673152e-12,0,221.24875062691746,True,False
NZ,59,268104.4102814027,0.18985959576985226,0.02455830857320127,0.5212279441381327,0,18078.27283915087,True,False
OM,18,312089.85847205634,0.15132471348772986,0.2051405468073636,0.025629502768763076,0,65931.16609431316,True,False
PA,20,74842.94574209112,0.00022866251290332815,0.00015643584463244741,0.0032348143687795346,0,11151.421238127325,True,False
PE,90,1295126.761401695,0.14855031678240974,0.0354978161241025,0.03354567673699364,0,104080.7138019674,True,False
PF,2,3353.2432248396535,0.0,0.0,0.0,0,2191.7709310967007,True,False
PG,26,467150.49535315594,0.12576039160277672,4.105246375968672e-10,0.00023727505458617012,0,52418.2159917674,True,False
PH,73,294429.9309958938,0.022865764377616806,0.09643196485347906,0.01738312450996301,0,16939.831739413155,True,False
PK,47,873936.2807688769,0.08141449621293118,0.08591129642830375,0.024618348590572665,0,155922.56757352393,True,False
PL,26,312218.0309417253,0.010843826976512323,0.00505273948327048,0.05470930513923147,0,34848.43397593646,True,False
PM,2,242.11381158577836,1.2482163096237653e-07,0.0,6.241087165297509e-08,0,212.20666939086192,True,False
PN,1,42.66301059586458,0.0,0.0,0.0,0,42.663010595862374,True,False
PR,4,9034.555012702242,0.0004584318998990441,4.7158435418153995e-08,0.003017545599750184,0,3613.5055421098964,True,False
PS,4,6078.841299345043,0.000628555321905588,2.7601503074156575e-08,0.00012229430194607343,0,2397.8207969947675,True,False
PT,30,91302.77572338101,0.002121141464297606,0.00026664696935959584,0.026294845837896465,0,10246.62087675073,True,False
PW,4,494.0340740581299,2.883701359521357e-07,1.3293927904070653e-12,2.7564228722906877e-06,0,279.438772491977,True,False
PY,37,400858.3403035812,0.11852035651529554,0.025915005008394977,0.14916268505260405,0,49113.95294406195,True,False
QA,2,11172.810634576585,5.167057925117714e-08,5.1418361275262345e-08,2.6542022547194968e-11,0,11052.99848572602,True,False
RE,2,2589.5106001330105,0.0004192221536336558,2.322275697103384e-08,0.00013687764820636365,0,1579.040841100917,True,False
RO,43,235805.73757771082,1.4196946920585492e-06,1.0979679354208999e-05,0.0,0,8834.688876836508,True,False
RS,14,77470.4951301187,0.0001258197652811828,0.002362469772001766,0.00357525549585623,0,17579.949166966653,True,False
RU,592,16886305.876077607,2.774378038933445,1.1977556000786338,0.832446829661525,0,284173.65283037245,True,False
RW,11,25418.25711164337,5.020092819543867e-05,2.2812517650177004e-05,0.00019109534511938144,0,9503.358003731802,True,False
SA,37,1926006.499966393,0.20806160007680205,0.06503512263190647,0.06632851823130234,0,424066.27114900335,True,False
SB,5,27312.043732855152,3.963176909748148e-05,0.0,3.463550323773e-06,0,17206.75141753696,True,False
SC,2,437.536309162114,4.106199757167162e-07,1.657377403781217e-08,3.611952654645174e-07,0,434.0709783676898,True,False
SD,34,1861995.7137464539,0.1762872648501096,0.22176041910939123,0.005101254404827039,0,292514.92772195314,True,False
SE,36,443493.59320982615,0.024523857615852487,0.04757739175334194,0.019037735200904547,0,65920.60316727021,True,False
SG,2,512.7913779622909,0.0,3.3005623892884933e-12,0.0,0,403.68332878783093,True,False
SH,3,367.34824989265337,1.553946029906889e-08,0.0,1.274185548470645e-08,0,152.7059262503519,True,False
SI,4,20276.533928258315,9.089300823765539e-05,6.223375413122918e-08,6.704410047556216e-05,0,13666.008262522957,True,False
SJ,1,61559.7965095444,0.0,0.0,0.0,0,61559.79651064984,True,False
SK,12,48308.373437258146,0.0011392333928585943,1.9098772704279787e-06,0.00020380873516947275,0,8670.814904045708,True,False
SL,5,71911.66994826992,0.00011451792417338177,2.079326800565173e-08,0.0007560145476116543,0,35908.219695081294,True,False
SM,2,60.19829503491084,8.801499704769316e-12,2.47542179196637e-12,3.059894848349931e-05,0,48.677409354799835,True,False
SN,19,196942.48832584545,0.019715486247507512,0.010614500839315566,0.00022595788603165944,0,39849.97558811658,True,False
SO,34,641965.4082777115,0.034612647715617846,0.010934382301432306,0.013992521724178248,0,59489.69604824086,True,False
SR,13,145764.39594383998,6.068050231961151e-05,0.0032996121587359297,0.0,0,112057.8754219827,True,False
SS,15,629530.4195881971,0.0050165577167163135,0.0035405223500337884,0.050988381694134936,0,121432.04317881631,True,False
ST,2,1041.8115624193415,4.400749852384658e-12,0.0,1.7602999409538632e-11,0,884.8446988540053,True,False
SV,15,20616.0944560983,8.702166529195021e-08,4.2360590430044374e-07,0.0,0,2111.5891438050508,True,False
SX,1,23.43281264038386,0.0,0.0,0.0,0,23.43281261677824,True,False
SY,26,185952.04809473833,0.2789437591169285,0.0012894001644643811,0.03737801942695927,0,40690.36444767046,True,False
SZ,7,17142.7808785481,0.0005154581516907664,5.133521267074618e-06,0.001219084784421697,0,5478.6556143229855,True,False
TC,2,446.38828494711953,2.480922729281851e-08,0.0,2.4821879448644116e-08,0,432.3492312262793,True,False
TD,35,1270722.883216057,0.02862988318222792,0.15310622813897484,0.0005136655740830002,0,249317.5494702524,True,False
TF,2,7256.955218742819,7.164869429882017e-08,0.0,6.71250452516424e-08,0,6964.266003014378,True,False
TG,8,57101.541784953486,1.6910121647177448e-05,0.00011244245231246667,6.907325300339725e-06,0,13168.217087179415,True,False
TH,88,516275.4623797386,0.00903127392533619,0.0005837441372574286,0.017887201839031478,0,22829.98266824415,True,False
TJ,15,142136.27225163535,0.02168192757024507,0.0027917116614400543,0.009632317497870413,0,63509.024154045124,True,False
TK,1,4.252598371894945,0.0,0.0,0.0,0,4.25259837189577,True,False
